PRINCIPLES,LABELS,KEYWORDS
"LAWFULNESS, FAIRNESS, TRANSPARENCY","Data Collection from First Party, ","Name, email address, contact number, shipping address, country, date of birth, profile picturepersonal information, name, address, phone number, fax number, email address, financial profiles, identification number, credit card information etc.personal information, name, address, phone number, fax number, email address, financial profiles, identification number, credit card information etc. personally identifiable information (email address, name, phone number, etc.) Privacy Policy,Personal Data,personally identifiable information, regulations.Privacy Policy,Personal Data,personally identifiable information, regulations.collected, used, voluntarily submit,contact information, social media account handles,  usage of the Site,user information, third party partners ,consent ,applicable law.Email address,First name and last name,Phone number, Address, State, Province, ZIP/Postal code, City , Cookies and Usage Data contact details, name, address, e-mail address, company, company ABN, company address, job title and phone numbers,credit card details, securely transmitted collected, used, voluntarily submit,contact information, social media account handles,  usage of the Site,user information, third party partners ,consent ,applicable law.Personal information,tracking information, IP addresses,Cookies,audience.name, username, password, email, contact details, date of birth or age, interest in our contentPersonal information,tracking information, IP addresses,Cookies,audience.contact information, legitimate interest , account related functionalities, save ,organize content, images, products, and recipes. Name, email address, phone, address, contest, sweepstakes, or promotion entry information, email communicationstitle, name, address, business phone number(s), email address and gender;
employment details, role and responsibilities, experience, seniority, salary education;name, contact details, your date of birth or financial detailsName;Date of birth;Company name;Title;Occupation;Job function;Expertise;Company details, Email address;Telephone number;Address;Country;IP address;Browser;Mobile Device ID;Browser extensions, Payment/billing information,Eligibility information

  browser type, IP address, language, operating system, cookies and the ID and location  Email address

First name and last name

Phone number

 Address, Country, State, Province, ZIP/Postal code, City

Cookies and Usage Data name, email address, username and password. username or login details; e-mail id; contact number(s);
 PNR details, bookings, co-passengers, travel preferences etc.
gender; age/date of birth; nationality;

Name, email address, telephone number, business, and billing addressees
Payment information 
Non-specific geolocation data
Images, videos,  address, device type, unique device identification numbers, browser-type, broad geographic location  store names and contact information transaction details.Name, email address, telephone number 
Government-issued identification 
Payment information 
Travel-related preferences 
Loyalty scheme 
Birth date and gender
Geolocation
Images, videos and other recordings
 name, e-mail address, mobile number name, title, company name, job function, expertise, postal address, telephone number, email address, device information name, gender, marital status, religion, age, profile picture, email address, postal addresses, frequent flyer number, telephone Name, email, phone number name, gender, age etc., your contact details such as your email address, postal addresses, telephone (mobile or otherwise) and/or fax numbers, banking details  email address and phone number.residential address, work address, email address and telephone number,namedisplay name ; a username ; a password; an email address or phone number; a date of birth; your display language; and third-party single sign-in information ( User ID, company name, telephone number, addressEmail addresses Name, gender, age and date of birth
Contact information such as address, email, and mobile phone number
Country of residence
Payment Details
Passport Number & frequent flyer number 
Lifestyle and social circumstances
Family details/information
Employment and education details
Financial and tax-related information
email address, sync, wishlist, shopping cart, offers and recommendations, browsing history, your interestsIP address, time zone, cookies, your order, payment information.Metrics Enterprises, Name
    Email address,
    Phone number,
    Website name and URL,
    Credit card number,
    Billing address,
    Visitor site preferences.
Brain Pickings,  name, email address.user information, IP address, device type, unique device identification numbers, browser-type, broad geographic location .email address, name, phone number, postal address, other information, Internet Protocol (“IP”) address, browser type, browser version, the pages of our Service. name, an identification number, location data, an online identifier.actual name, address, or home or mobile telephone number. your name, email address, phone number, full user name, password, city, and time zone. name, address, contact number, email ID , chat history. name, email address, date of birth, gender, billing address, delivery address, pin code, mobile number, occupation, interests. IP address, type of browser, operating system used, date and time you access our site, pages you visit.the IP address, date and time of access, the name and URL of the retrieved file, the website, session ID, user agent.password, shipping, billing, tax registration, shipping, billing, tax registration. email address, name, phone number, postal address, other information, Internet Protocol (“IP”) address, browser type, browser version, the pages of our Service. name, location data, email address, phone number, other factors specific to a person’s identity. IP address, unique id in a cookieyour name, email, your company name, your job title or your dietary restrictions, your name, your address, your telephone number, your email address, your credit or debit card informationSDM, DATA Personal details (e.g. name, contact details including, residential address, date of birth, documents such as identity card / passport details / Aadhaar details / PAN / Voter ID / driving license, and/or education details) provided by you to us to avail various products/services from us.""copy"", ""name"", ""education details""""email address"", ""name"", ""phone number""""your name"", ""address"", ""phone"", ""number"", ""your age"", ""your location information"", ""your IP address"" ""Store"" , ""Information"" , ""time to time"", ""you"" ""Use"", ""Services"", ""Webform"", ""Internet""""Information"", ""mandatory"", ""voluntary"""
"LAWFULNESS, FAIRNESS, TRANSPARENCY","Data Collection from Third party, ","SDKs, PII payment operator, push notifications,collect payments, products, services and databases, services providers, projects, conducting surveys or organizing sweepstake payment operator, push notifications,collect payments, products, services and databases, services providers, projects, conducting surveys or organizing sweepstakethird-party account credentials, third party site,Third Party Account Informationthird-party account credentials, third party site,Third Party Account Informationdelivery and address information, carriers, records,next purchase personal information, third party sources,business or commercial purposes, these third parties, disclose, personal information perform
Service-related services ,third parties, Personal Data,disclose,purpose.personal information, third party sources,business or commercial purposes, these third parties, disclose, personal information third-party account credentials, third party site,Third Party Account Informationsupplement or combine Information, sources,outside records,third-party data providers, demographics, transaction and purchase history,Digital Services,third parties,subscription agreement , content or services.third-party account credentials, third party site,Third Party Account Informationwebsites or applications, third parties,privacy practices , API Services ,video content.  personal information,browser, device information, IP address, interact  third party,legitimate interests ,fundamental rights , freedoms.sending you emails about things, analyse data The size, industry, and other information T other websites (""Linked webistes"") Linked sites aautomate the development process  social media platforms  collection, storage and segmentation of Online Data personal and non-personal information  public or social graph data, or social media websites 
partnership or promotional offering  contact information, demographic information, interests and purchase history analyze information about your use of the service, generate aggregate site usage statistics and provide content sharing services to support the Service.  joint marketing partners, social media platforms payment processing, data hosting, and data processing platforms. text, graphics, user interfaces, visual interfaces, photographs, trademarks, logos, sounds, music, design documents,. payment processing, data hosting, and data processing platforms.Data brokers or resellers. Technical data browser cookie IDs, Twitter-generated identifiers, mobile device IDs, email addresses, demographic or interest data, and content viewed or actions taken on a website  Third Party payment processors, and our email service provider  tracking information basic Website usage information

Analytics
Infrastructure monitoring 
Location-based interactions
Unique device identificationdisclose,  name, email, mobile phone number, access, service, device information, location and network carrier, personalize, behavioral analytics.Cookies, anonymous unique identifier, IP address, browser type, internet service provider.Browser information,,
    Operating system information
    Mobile device information,
    IP address,
    Pages accessed,
    Time of visit,
    Time of last visit. cookie, personally identifying (PII), non-personally identifying (non-PII) informationthird party services,  Google Analytics, ollect, monitor, analyze.third-parties, preferences, interests, search queries, and online activity.Internet Protocol .third party social media account, Facebook, Twitter, Instagram, Pinterest, LinkedIn.cookiescookies, IP address, domain, The type of computer, The type of web browser.server log files, cookies, web beacons.third party services,  Google Analytics, ollect, monitor, analyze. third-party social media,  URL, profile photo, connections, industry, location.third parties, collection of dataYour IP address, Your location, Your operating system, Your browser, Your browser language, The URLs of any pages you visit on our sites and apps
Device identifiersFacebook, Twitter, LinkedIn"
"LAWFULNESS, FAIRNESS, TRANSPARENCY","Data Collection from Public Sources, ","delivery, address informationdelivery, address informationto investigate and address threats or potential threats to the physical safety of any person, to investigate and address violations of this Policy or the Terms of Service, or to investigate and address violations of the rights of third parties and/or to protect the rights, property and safety of Incnut, law enforcement, government agencies, summons, court , law.to investigate and address threats or potential threats to the physical safety of any person, to investigate and address violations of this Policy or the Terms of Service, or to investigate and address violations of the rights of third parties and/or to protect the rights, property and safety of Incnut, law enforcement, government agencies, summons, court , law.delivery, address informationdelivery, address informationdelivery, address information personal data,public authorities, national security,law enforcement requirements.  personal data,public authorities, national security,law enforcement requirements. public activities , comments, recommendations, ratings, third parties,Community Guidelines, identifiable information,public forums,unsolicited messages, terms of use,  content public, community forums, photos, letters, videos, comments,online forums, privacy settings,Information or content, username,public on the Internet, publicly available,community forum.public activities , comments, recommendations, ratings, third parties,Community Guidelines, identifiable information,public forums,unsolicited messages, terms of use,  contentcomments, chat rooms, message boards, bulletin boards,public forums,communicate.,submit informationAdvertisers
Data partners
Service providerscustomers,marketing solutions,controller,third party data providers,publicly available sources,co-ordinate, enhance,customer’s marketing campaigns detect, prevent, or otherwise address fraud, security or technical issues uploaded, submitted, distributed, or posted publicly posted or privately transmitted data centralization and / or logistics purposes;
public databases, joint marketing partners, social media platforms

Review and Ratings
Question and Answers
Crowd Source Data Collection  social media channelsother Twitter users, developers, and partners corporate affiliates collect your data and attempt to contact you off the sitenews articles and Internet searches.IP Address, mobile applications, date, time, place of accessing. apps, browsers, devices IP address, domain name, your locationMarketing, data analytic, social media-owned databases, Media Platforms,  Other Third-Party Services""we receive information about you"", ""updated delivery"", ""address information"", ""from carriers""""Collect"", ""Other Sources"", ""eBay inc"", ""Credit Agencies"""
"LAWFULNESS, FAIRNESS, TRANSPARENCY","Category of data, ","Contact details such as Name, email address, contact number, shipping address, country, date of Open data and public records such as information about YOU that is openly available on the internet birth, profile picture Location details such as data we get about your location, IP address, logs, or from where you connect a computer to the internet Technical details such as device information, location, network carrier, Communications: Metadata, other Personal Data from communications done through e-mails, SMS, instant messages, calls, pages viewed.information or category of information, eliminate, transmission speeds,signal characteristics.information, Google, relevant interest categories, interest-based ads.personal, identifiers, customer records, protected classification characteristics, internet, geolocation data, professional or employment-related informationinformation or category of information, eliminate, transmission speeds,signal characteristics.personal data, name, email address, contact number, shipping address, country, dob, profile picture,public records, transaction amount, bank name, card type, card number.personal, identifiers, customer records, protected classification characteristics, internet, geolocation data, professional or employment-related informationinformation or category of information, eliminate, transmission speeds,signal characteristics.information or category of information, eliminate, transmission speeds,signal characteristics.organizations,categories of information ,types of information,people name, unique identifier, online identifier, email address,CustomerRecords, name, email, address, telephone number,
Geolocation,
Commercial Information, Create a Profile, 

Biometric Information, hair color, eye color, fingerprints, retinal scans, thermal, olfactory, similar information,
Audio, Electronic, Visual Information.Contact Information ,Demographic Information ,Online Identifiers ,Internet Activity Information,Payment Information,Interests, Preferences,Behavioral Data ,Loyalty Account Information,Health/Fitness Information,Personal Information, Consumers Voluntarily Choose to Providecommercial information, employment-related information, education information , personal data,Identifiers/contact information,commercial information, marketing prefrences, audio or visual information, professional,employment-related information, education information and inferences  Personal Data, Usage Data, Location Data, Tracking Cookies Data, Other DataContact Data,Identity Data,Website User Data,Transaction Data,Marketing and Communications Data, Public Domain or Third Party Data,Profile Data,Technical Data,Usage Data registrations or guest account for booking travel services, travel agents, other travel websites, social media,news articles and Internet searches.
Social and professional networking sites, Business clients name, email, mobile phone number, device information, location and network carrierCookies, Log files, Web beacons, tags, and pixels, “Postscript” text messages.name, email address.personally identifying (PII), non-personally identifying (non-PII) information Personal InformationPersonal information categories, California Customer Records statute.Personal Information. Personal Information Personal Information Personal InformationInformation You Voluntarily Give Us, Information Collected Automatically,  Information Collected From Other Sources.Personal Details, Financial Details, employment details, voice recordings ""financial details"", ""employment details"", ""voice recording""""Personal Information"" , ""Email"" , ""Credit/Debit"" , ""Name"" , ""Phone """"Contact Information"", ""Profile Information"""
"LAWFULNESS, FAIRNESS, TRANSPARENCY","Data minimization, ",User Information - limited 
"LAWFULNESS, FAIRNESS, TRANSPARENCY",Sensitive data,"caution, personal and/or payment sensitive information. Personal information, unauthorized access to or misuse of the same,loss, damage (whether direct, indirect, consequential or incidental), access or misuse, Personal or Sensitive Information, third party. Information Technology Act, 2000,collection, use, storage,sensitive personal data or information. Personal information, unauthorized access to or misuse of the same,loss, damage (whether direct, indirect, consequential or incidental), access or misuse, Personal or Sensitive Information, third party. log-in credentials for LinkedIn, e-mail, Salesforce caution, personal and/or payment sensitive information.sensitive details ,name, postal address and email id log-in credentials for LinkedIn, e-mail, Salesforce caution, personal and/or payment sensitive information.sensitive details ,name, postal address and email idaddress, telephone number and credit card informationEmail address, First name and last name,Phone number,Address, State, Province, ZIP/Postal code, City address, telephone number and credit card informationname, username, password, email, contact details, date of birth or age, interest in our content Personal information, unauthorized access to or misuse of the same,loss, damage (whether direct, indirect, consequential or incidental), access or misuse, Personal or Sensitive Information, third party.email address, contact number, geographical address, profileName, email address, phone, address, contest, sweepstakes, or promotion entry information, email communicationsname, phone number, postal address, or e-mail address,username and password, reminder questions and answers, and communications preferences, e.g. signing up for a newsletter or sweepstakes, registering for an offer or an experience, or making a purchase,billing address, and credit card information,account name and password,posts, photostitle, name, address, business phone number(s), email address and gender;
employment details, such as your current role and responsibilities, experience, seniority, salary and education;companies, organizations, government authorities, or individuals, preservation or disclosure, detect, prevent

 secure from unauthorised access, collection use, disclosure,  for legitimate purpose, with applicable law offensive, indecent, or objectionable, deemed offensive, indecent, or objectionable to you.
Dietary requirements
Healthracial or ethnic origin, sexual orientation, political opinions, religion, health, biometrics or genetic characteristics, criminal background, or trade union membershipoffering co-branded credit cards, travel insurance, insurance cover against loss of wallet, banking cards accordance with applicable law,  privacy notice or policy
 
Dietary requirements 
Health 
Sexual orientationname, email, mobile phone number IP address, time zone, cookies .Name,
   Email address,
    Phone number,
    Website name and URL,
    Credit card number,
    Billing address,
    Visitor site preferences,
Browser information,
    Operating system information,
    Mobile device information,
    IP address,
    Pages accessed,
    Time of visit,
  name, donation amount, and payment card information.IP address, device type, unique device identification numbers, browser-type, broad geographic location.email address, name, phone number, postal address, other information, Internet Protocol (“IP”) address, browser type, browser version, the pages of our Service.name, an identification number, location data, or an online identifier. your name, email address, phone number, full user name, password, city, and time zone.name, address, phone number, fax number, email address, financial profiles, identification number, credit card information name, email address, date of birth, gender, billing address, delivery address, pin code, mobile number, occupation, interests.the IP address, date and time of access, the name and URL of the retrieved file, the website, session ID, user agent.password, shipping, billing, tax registration, shipping, billing, tax registration. email address, name, phone number, postal address, other information, Internet Protocol (“IP”) address, browser type, browser version, the pages of our Service.sensitive Personal Information, racial, ethnic origin, political opinions, religion, other beliefs, health, criminal background, or trade union membership.Your social security number, Your racial or ethnic origin, Your political opinions, Your religion or other beliefs
Your health, biometric or genetic characteristics, Any trade union membership, Any criminal backgroundfinancial details (e.g. income, expenses, and/or credit history) needed as part of request for some of our products/services""financial details""""geolocation"", "" IP address"", ""device ID,"", ""unique identifier"" ""login"", ""email"", ""password""""PAN"" , ""Location"" , ""Device Information"" , ""KYC""""Transferring"", ""Safeguards"""
,,
PURPOSE LIMITATION,"Main Purpose, ","personal information to operate, provide, develop, improve products and services. These purposes include: to take and handle orders, deliver products and services, process payments, and communicate with you about orders, products and services, promotional offers, to provide functionality, analyze performance, fix errors, improve the usability and effectiveness, to recommend features, products,services, identify preferences,personalize experience.personally identifiable information, data privacy laws, rules and regulations. e-mails and messages, push notifications, Web Platforms,  process and collect payments. personal information, resolve disputes,help promote a safe service; collect fees owed; measure consumer interest in our products and services, inform you about online and offline offers, products, services, and updates; customize your experiencepersonally identifiable information, data privacy laws, rules and regulations. send emails, profilestore information, opening  account, processing transactions, responding to requests,communicatingpersonally identifiable information, data privacy laws, rules and regulations. send emails, profile enhance, personalize, support , experience,collect, use, user information.  provide, improve,collection, use of information personal information,software products,distributing newsletters, licensing  products, updating products,sales and technical queries. enhance, personalize, support , experience,collect, use, user information. global community,discipline and culture, mobile appscollect, use, share ,process, categories of Informationpersonal information,r location, legitimate interest, tailored services.Designtechnica Corporation,personally identifiable information,access, deletion, personal information.  customize the content, e-mail communications, ads, offers, promotions , Brands and advertisers personal data,collect, providedeliver our services, deal with your requests, complaints and enquiries. Administering product 
Verifying your identity;
Processing payments; entertainment related information, pricing, availability and reservations for tickets for cinemas, plays, concerts, sports events maintain our Service;

 to notify you about changes 

 participate in interactive features 

 customer support;

valuable information s;

monitor  collection of your personal dataaffiliates and its subsidiary communicate with you, respond to your questions,measure interest provide social media featuresto facilitate payments, send receipts, provide products  book your travel and/or holidaydiagnose service or technical problems, maintain security, personalize content, remember information tadministrative information, information regarding the Sites provide, develop, and improve the products and services that we offer our customers. T
Advertising.Operate and improve the Site;
Provide customers with the Service 
Facilitate subscription ease your booking process  communicate about our products and servicesto provide the Services to you and to understand, improve, and enhance the Servicesweekly newsletterpricing, availability and reservations for airlines, hotels, railway, holiday packages, bus and car rentals across cities and rural areas throughout India services you request, personal information, troubleshoot problems, troubleshoot problems,  measure interest, inform, online and offline offers, customize your experience, improve our product, service offerings, collect, analyze,  demographic and profile data , users' activity, identify, your IP address, diagnose problems, administer our app.fulfill any orders, help us improve, optimize our site, customers interact, marketing, advertising campaigns, customers, screen orders for potential risks or fraud.Client Information, including Personally Identifiable Information, to register your account, fulfill your   process billing for Metrics Enterprises Services, personalize your experience communicate, receive the newsletter, to facilitate donations.collecting, using, sharing user information,  support the Site, improve its features, performance .identifying, communicating with you, responding to your requests/inquiries, servicing your purchase orders, improving our services.help us communicate, disclosed to third-parties, To facilitate that interaction.grant you access ,  provide you with the service you have requested, improve the service.create and manage your account, provide our Service, process payments, and respond to your inquiries. to monitor, improve, update, sendinbg emails. Password reminder, registration confirmation, Special offers, Changes in the service policies, Improve personalized features. help process your request, to comply with any law, regulation, audit or court order, to help improve our website. trouble-free connection , ensure convenient use, system security, prevent attacks.record Your information, serve various promotion materials, advertising materialsidentifying, communicating with you, responding to your requests/inquiries, servicing your purchase orders, improving our services.Communicate, Review, evaluate, Legal Purposes.sending you account notices, communicating, providing you with information, targeted advertising.Times Service, Arranging access, Providing customer service
Responding to your inquiries, requests, suggestions,  complaints, Completing your payments, Sending service-related messages, Displaying your Crossword statsProviding relevant, Monitoring, improving, troubleshooting the information, Processing information and documents, storing, Operation.to undertake financial/regulatory/management reporting, and create and maintain various risk management models;   to carry credit checks, screenings or due diligence checks as lawfully required by us""to undertake fin/regul/managed reporting"", ""create and maintain various risk management models""""Provide services you request""""purchase and delivery of products"", ""communicate with you"" ""fraud prevention"" ""Internal research"" , ""Protect"" , ""Serve"" , ""Analysed""""Various"", ""Legal Bases"", ""Provide"", ""Improve"", ""Contact"", ""Detect"", ""Services""""Financial Transaction"", ""Service you order"", ""Respond"", ""administer"""
PURPOSE LIMITATION,"Secondary purpose, "," Performance/Analytical Cookies, campaigns , advertising. to protect the rights, property, safety, fraud protection ,credit risk reduction.identify and use your IP address, server, and to administer our website,demographic information.Crunchbase, customers, strategic partners. to protect the rights, property, safety, fraud protection ,credit risk reduction.receive/store information, location and mobile device, unique identifier Crunchbase, customers, strategic partners. to protect the rights, property, safety, fraud protection ,credit risk reduction.person's contact information, view and accept, access the information, Personally Identifiable Information ,promotion, contest, survey,Users information  business and commercial purposes, internal analytics purposes, improve,quality, relevance  contact details, name, address, e-mail address, company, company ABN, company address, job title and phone numbers,credit card details, securely transmitted  business and commercial purposes, internal analytics purposes, improve,quality, relevance support, employment opportunities, promotional material,services, sales, or promotions, administrative purposes,  manage relationships.receive/store information, location and mobile device, unique identifier research and analysis,general trends, website visitors,  engage,subscriptions,protect , fraud,security issuesto keep the licensing database accurate, personalise servicesSending you necessary communications
Providing customer service or support.enforce our rightto resolve disputes, or troubleshoot problems; to prevent, investigate or take action track your preferences, analyze traffic, organize Forbes eventsSend you communicationsenable you to communicate with travel providers track User Content To personalize your experience 
Provide customer support;
 send you marketing messages  to respond to your questions or comments, including support-related and billing inquiriesponsored newsletterpersonal information, advertisements, marketing communications,  User Information, facilitate the delivery of content, advertisements,  communicate with you about new or special offers. Target Content, Advertising, To Provide Interactive Communications, Third Parties.Personal Data,  current judicial proceeding.Remember you, Recognize your usage privileges, Administer and manage smooth functioning.better serve you.identify, plausibility of the data, amend contracts.User behavior,  online and offline advertising .resolve disputes, collect fees, and troubleshoot problems,  respond to specific inquiries made by you, enforce our Terms of Service, customize, measure, and improve our services, content, and layout.Products, Services, Do Analysis, Administrative Tasks.to share with you, updates on changes to the products/services and their terms and conditions; to take up or investigate any complaints/claims/disputes; to respond to your queries or feedback submitted by you""share"", ""update"", ""investigate"", ""claim""""resolve"", ""disputes"", ""collect"", ""updates"", ""customize"", ""detect""""improve amazon services"", ""comply with legal obligation""""Personal Information"" , ""Market"" , ""Assist"" , ""Enhancing"" , ""Resolve Disputes"" , ""Troubleshooting problems""""Share"", ""User assignment""""Informed"", ""administer performance"", ""notify"", ""investigate"""
PURPOSE LIMITATION,"View, "," Performance/Analytical Cookies, campaigns , advertising.create an account, purchase any product ,access to print your orders and view purchases. Performance/Analytical Cookies, campaigns , advertising.create an account, purchase any product ,access to print your orders and view purchases. Performance/Analytical Cookies, campaigns , advertising.create an account, purchase any product ,access to print your orders and view purchases.person's contact information,Personally Identifiable Information,promotion, contest, survey, email address,inquiries, questions, requests, news, updates, related product or service informationPrivacy Policy can be viewed at <https://stripe.com/us/privacy>usage, popularity, positive or negative impact,statistical analyses of users of the site,participation patterns, audience.Offering,Digital Service, content ,viewed or posted, advertisements,features, programs, services and content,Digital Service, individual ,household level.small pieces of information,computer’s hard drive . viewing, clicking, sharing content, third-party platform provider,Automatic Tracking Technology Internet Activity ,interactitions,pages, content, ads,open, forward, e-mails ,social media platformusers, Contributions, views or values.myChrono24, cannot be viewed by third parties.""platform"", ""buyers"", ""sellers"", ""transactions""""improve the product and services we offer""""Provide Services"", ""Legal Obligations"""
